;;Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM)
;;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave
;;1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB]
No;Date & time;20.0 Hz;25.0 Hz;31.5 Hz;40.0 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1000 Hz;1250 Hz;1600 Hz;2000 Hz;2500 Hz;3150 Hz;4000 Hz;5000 Hz;6300 Hz;8000 Hz;10000 Hz;12500 Hz;16000 Hz;20000 Hz;Total A;Total C;Total Z
38;13-3-2015 16:12:07.600;27,7;29,2;27,1;22,8;21,7;20,7;17,6;16,2;13,8;14,8;16,2;25,3;32,7;35,4;29,8;35;41,5;50;49,7;45,2;51,9;63,6;69,7;68,3;70,2;77,5;75,8;77,2;74,8;70,4;67,5;82,2;80,3;83,4
39;13-3-2015 16:12:07.800;28,9;26;25,1;24,2;21,8;19,7;20,6;21,2;17,9;20,7;20,5;25,8;33;35,5;30,7;35,4;41;50;49,3;45,1;54,8;65,5;68,3;67,5;72,8;81;74,1;79;75,5;71;68,6;84;82,1;85
40;13-3-2015 16:12:08.000;27,4;27,3;25,7;23;22,4;20,6;19,6;20,3;18,1;19,4;19,1;26,9;32,6;35,5;30,7;35,4;41,7;49,8;49,3;44,9;55,5;65,2;67,2;64,4;72,9;79,2;72,9;77,5;74,6;71;66,4;82,6;80,7;83,6
41;13-3-2015 16:12:08.200;25,7;28,2;25,2;23;24,9;19,4;16,2;15,3;13;16,4;16,8;28,3;31,1;35,8;32;36,5;41,6;49,9;49,1;44,9;54,4;63,8;66,1;62,3;72,9;78,3;71,9;76,7;74;69,8;66,6;81,8;79,9;82,9
42;13-3-2015 16:12:08.400;24,9;27,2;23,8;21,2;24,2;19,1;16,4;16,8;12,6;15,6;14,8;27,2;33;35,5;30,4;35,6;41,2;49,4;49;43,5;54,6;61,3;68,3;66;68,8;78,1;72,4;75,5;73,2;68,5;68,4;81,2;79,3;82,3
43;13-3-2015 16:12:08.600;25,2;25,9;22,4;20,6;22,3;18,7;18,1;14,8;13,4;14,2;13,8;26,4;31,6;35,1;30,9;35,6;41,7;49,5;48,4;43,5;54,3;59,7;63,9;67,2;67,4;73,3;70,3;75,3;72,3;65,8;65;78,6;76,8;80,1
44;13-3-2015 16:12:08.800;26,4;27,4;23,8;18,7;23,1;19,4;16,6;13;12,6;13,4;12,1;26,7;32,6;34,9;30,9;35;41,5;49,7;48,2;43,7;54,7;61,2;65,9;76,3;70,1;75,5;77,2;75,8;72,3;67,1;65,1;82,2;80,4;83
45;13-3-2015 16:12:09.000;29,2;25,6;20,2;19,3;22,8;18,3;19,5;13,8;14,2;14,2;19,6;27,2;32,6;34,5;30,2;35,3;41,6;49,4;48,5;43,7;54,7;61,6;66;76,3;69,7;75,2;77,6;76,7;71,8;66,9;65,2;82,3;80,4;83,1
46;13-3-2015 16:12:09.200;30,2;23,4;24,2;20,9;26,3;19,6;19,9;17,6;15,1;15,3;20,5;27,5;32,8;34,8;30,3;35,7;41,2;49,9;48,6;44;53,8;59,7;68,6;73,4;66,9;69,7;75,6;74;69,2;65,1;62,7;79,7;77,9;80,5
47;13-3-2015 16:12:09.400;29,2;22,7;24,5;20,4;25,8;17,6;16,4;16;15,1;16;18,8;28,9;33,5;35,7;29,8;36,7;41,4;50,1;48,8;44,5;52;60,7;69,3;68,3;67,8;76,4;73,1;76,9;72,1;67,8;66;80,8;79;82
